"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","492","n/e","0","0","4527","261","79","0","0","0","","0","1512","4668","0","7117","55","96","10","218","0","6879"
"Spain (ES)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","493","n/e","0","0","4546","261","78","0","0","0","","0","1468","4300","0","7117","54","96","9","220","0","7001"
"Spain (ES)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","498","n/e","0","0","4117","260","78","0","0","0","","34","1447","3231","0","7118","55","95","10","222","0","7256"
"Spain (ES)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","496","n/e","0","0","3781","259","78","0","0","0","","826","1418","2386","0","7118","55","94","9","222","0","7951"
"Spain (ES)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","496","n/e","0","0","3734","259","78","0","0","0","","1337","1340","2032","0","7119","54","94","9","230","0","8791"
"Spain (ES)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","499","n/e","0","0","3597","268","78","0","0","0","","1554","1319","1764","0","7118","54","93","9","236","0","9209"
"Spain (ES)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","492","n/e","0","0","3547","277","77","0","0","0","","1587","1309","1919","0","7119","55","96","19","234","0","9454"
"Spain (ES)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","486","n/e","0","0","3481","262","77","0","0","0","","1825","1314","2289","0","7120","54","94","24","243","0","9970"
"Spain (ES)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","489","n/e","0","0","3526","256","68","0","0","0","","2503","1337","2388","0","7119","54","93","51","254","0","10461"
"Spain (ES)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","498","n/e","0","0","3370","256","73","0","0","0","","2609","1360","2557","0","7117","54","96","1010","262","0","10788"
"Spain (ES)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","486","n/e","0","0","3339","256","77","0","0","0","","2481","1372","2867","0","7116","53","97","3278","263","0","10565"
"Spain (ES)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","481","n/e","0","0","3426","256","77","0","0","0","","1751","1450","2912","0","7116","54","97","4529","255","0","10593"
