"Time (CET/CEST)","Spain (ES) > Portugal (PT) [MW]","Portugal (PT) > Spain (ES) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","320"
"01.01.2021 01:00 - 01.01.2021 02:00","0","283"
"01.01.2021 02:00 - 01.01.2021 03:00","0","98"
"01.01.2021 03:00 - 01.01.2021 04:00","334","0"
"01.01.2021 04:00 - 01.01.2021 05:00","1034","0"
"01.01.2021 05:00 - 01.01.2021 06:00","1126","0"
"01.01.2021 06:00 - 01.01.2021 07:00","1091","0"
"01.01.2021 07:00 - 01.01.2021 08:00","1269","0"
"01.01.2021 08:00 - 01.01.2021 09:00","1129","0"
"01.01.2021 09:00 - 01.01.2021 10:00","1205","0"
"01.01.2021 10:00 - 01.01.2021 11:00","1353","0"
"01.01.2021 11:00 - 01.01.2021 12:00","1535","0"
"01.01.2021 12:00 - 01.01.2021 13:00","1969","0"
"01.01.2021 13:00 - 01.01.2021 14:00","1864","0"
"01.01.2021 14:00 - 01.01.2021 15:00","1568","0"
"01.01.2021 15:00 - 01.01.2021 16:00","1587","0"
"01.01.2021 16:00 - 01.01.2021 17:00","996","0"
"01.01.2021 17:00 - 01.01.2021 18:00","144","0"
"01.01.2021 18:00 - 01.01.2021 19:00","0","310"
"01.01.2021 19:00 - 01.01.2021 20:00","0","418"
"01.01.2021 20:00 - 01.01.2021 21:00","0","112"
"01.01.2021 21:00 - 01.01.2021 22:00","0","99"
"01.01.2021 22:00 - 01.01.2021 23:00","0","128"
"01.01.2021 23:00 - 02.01.2021 00:00","554","0"
"02.01.2021 00:00 - 02.01.2021 01:00","1467","0"
"02.01.2021 01:00 - 02.01.2021 02:00","2032","0"
"02.01.2021 02:00 - 02.01.2021 03:00","1928","0"
"02.01.2021 03:00 - 02.01.2021 04:00","2262","0"
"02.01.2021 04:00 - 02.01.2021 05:00","2211","0"
"02.01.2021 05:00 - 02.01.2021 06:00","1722","0"
"02.01.2021 06:00 - 02.01.2021 07:00","1497","0"
"02.01.2021 07:00 - 02.01.2021 08:00","1552","0"
"02.01.2021 08:00 - 02.01.2021 09:00","777","0"
"02.01.2021 09:00 - 02.01.2021 10:00","790","0"
"02.01.2021 10:00 - 02.01.2021 11:00","1188","0"
"02.01.2021 11:00 - 02.01.2021 12:00","1569","0"
"02.01.2021 12:00 - 02.01.2021 13:00","2036","0"
"02.01.2021 13:00 - 02.01.2021 14:00","2189","0"
"02.01.2021 14:00 - 02.01.2021 15:00","2175","0"
"02.01.2021 15:00 - 02.01.2021 16:00","2352","0"
"02.01.2021 16:00 - 02.01.2021 17:00","2290","0"
"02.01.2021 17:00 - 02.01.2021 18:00","2416","0"
"02.01.2021 18:00 - 02.01.2021 19:00","1658","0"
"02.01.2021 19:00 - 02.01.2021 20:00","1348","0"
"02.01.2021 20:00 - 02.01.2021 21:00","1625","0"
"02.01.2021 21:00 - 02.01.2021 22:00","2060","0"
"02.01.2021 22:00 - 02.01.2021 23:00","2269","0"
"02.01.2021 23:00 - 03.01.2021 00:00","2002","0"
"03.01.2021 00:00 - 03.01.2021 01:00","2351","0"
"03.01.2021 01:00 - 03.01.2021 02:00","2679","0"
"03.01.2021 02:00 - 03.01.2021 03:00","2637","0"
"03.01.2021 03:00 - 03.01.2021 04:00","2544","0"
"03.01.2021 04:00 - 03.01.2021 05:00","2528","0"
"03.01.2021 05:00 - 03.01.2021 06:00","2490","0"
"03.01.2021 06:00 - 03.01.2021 07:00","2539","0"
"03.01.2021 07:00 - 03.01.2021 08:00","2434","0"
"03.01.2021 08:00 - 03.01.2021 09:00","2332","0"
