"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Spain (ES)","Actual Total Load [MW] - Spain (ES)"
"01.01.2021 00:00 - 01.01.2021 01:00","24465","24623"
"01.01.2021 01:00 - 01.01.2021 02:00","23579","23436"
"01.01.2021 02:00 - 01.01.2021 03:00","22088","21319"
"01.01.2021 03:00 - 01.01.2021 04:00","20765","19606"
"01.01.2021 04:00 - 01.01.2021 05:00","20022","18753"
"01.01.2021 05:00 - 01.01.2021 06:00","19799","18566"
"01.01.2021 06:00 - 01.01.2021 07:00","19927","18808"
"01.01.2021 07:00 - 01.01.2021 08:00","20087","19323"
"01.01.2021 08:00 - 01.01.2021 09:00","20082","19471"
"01.01.2021 09:00 - 01.01.2021 10:00","20857","20552"
"01.01.2021 10:00 - 01.01.2021 11:00","22468","22912"
"01.01.2021 11:00 - 01.01.2021 12:00","23938","24840"
"01.01.2021 12:00 - 01.01.2021 13:00","24674","25771"
"01.01.2021 13:00 - 01.01.2021 14:00","25660","26778"
"01.01.2021 14:00 - 01.01.2021 15:00","25839","26983"
"01.01.2021 15:00 - 01.01.2021 16:00","24567","25303"
"01.01.2021 16:00 - 01.01.2021 17:00","24029","24720"
"01.01.2021 17:00 - 01.01.2021 18:00","24608","25117"
"01.01.2021 18:00 - 01.01.2021 19:00","26691","27183"
"01.01.2021 19:00 - 01.01.2021 20:00","27597","28195"
"01.01.2021 20:00 - 01.01.2021 21:00","28808","28787"
"01.01.2021 21:00 - 01.01.2021 22:00","29198","29104"
"01.01.2021 22:00 - 01.01.2021 23:00","28519","28316"
"01.01.2021 23:00 - 02.01.2021 00:00","26198","26108"
"02.01.2021 00:00 - 02.01.2021 01:00","23800","23648"
"02.01.2021 01:00 - 02.01.2021 02:00","21845","21311"
"02.01.2021 02:00 - 02.01.2021 03:00","20268","20039"
"02.01.2021 03:00 - 02.01.2021 04:00","19388","19347"
"02.01.2021 04:00 - 02.01.2021 05:00","19141","19171"
"02.01.2021 05:00 - 02.01.2021 06:00","19455","19514"
"02.01.2021 06:00 - 02.01.2021 07:00","20586","20700"
"02.01.2021 07:00 - 02.01.2021 08:00","21856","22215"
"02.01.2021 08:00 - 02.01.2021 09:00","23840","23843"
"02.01.2021 09:00 - 02.01.2021 10:00","26307","26459"
"02.01.2021 10:00 - 02.01.2021 11:00","29361","28924"
"02.01.2021 11:00 - 02.01.2021 12:00","29935","29768"
"02.01.2021 12:00 - 02.01.2021 13:00","30271","29725"
"02.01.2021 13:00 - 02.01.2021 14:00","30314","30173"
"02.01.2021 14:00 - 02.01.2021 15:00","30683","30546"
"02.01.2021 15:00 - 02.01.2021 16:00","29084","29683"
"02.01.2021 16:00 - 02.01.2021 17:00","28355","29138"
"02.01.2021 17:00 - 02.01.2021 18:00","28113","29329"
"02.01.2021 18:00 - 02.01.2021 19:00","30373","31517"
"02.01.2021 19:00 - 02.01.2021 20:00","31013","32595"
"02.01.2021 20:00 - 02.01.2021 21:00","31698","33260"
"02.01.2021 21:00 - 02.01.2021 22:00","31809","33270"
"02.01.2021 22:00 - 02.01.2021 23:00","30338","31557"
"02.01.2021 23:00 - 03.01.2021 00:00","27725","29084"
"03.01.2021 00:00 - 03.01.2021 01:00","25763","26207"
"03.01.2021 01:00 - 03.01.2021 02:00","23322","23617"
"03.01.2021 02:00 - 03.01.2021 03:00","21710","21866"
"03.01.2021 03:00 - 03.01.2021 04:00","20829","20953"
"03.01.2021 04:00 - 03.01.2021 05:00","20561","20691"
"03.01.2021 05:00 - 03.01.2021 06:00","20664","20714"
"03.01.2021 06:00 - 03.01.2021 07:00","21148","21370"
"03.01.2021 07:00 - 03.01.2021 08:00","21995","22239"
"03.01.2021 08:00 - 03.01.2021 09:00","23421","23295"
"03.01.2021 09:00 - 03.01.2021 10:00","26078","25415"
"03.01.2021 10:00 - 03.01.2021 11:00","29026","28051"
"03.01.2021 11:00 - 03.01.2021 12:00","30328","29297"
"03.01.2021 12:00 - 03.01.2021 13:00","30582","29284"
"03.01.2021 13:00 - 03.01.2021 14:00","31375","29834"
"03.01.2021 14:00 - 03.01.2021 15:00","31654","30081"
"03.01.2021 15:00 - 03.01.2021 16:00","30276","28923"
"03.01.2021 16:00 - 03.01.2021 17:00","29748","28065"
"03.01.2021 17:00 - 03.01.2021 18:00","30126","28473"
"03.01.2021 18:00 - 03.01.2021 19:00","32119","31061"
"03.01.2021 19:00 - 03.01.2021 20:00","33581","32685"
"03.01.2021 20:00 - 03.01.2021 21:00","34290","33529"
"03.01.2021 21:00 - 03.01.2021 22:00","34243","33523"
"03.01.2021 22:00 - 03.01.2021 23:00","32595","31913"
"03.01.2021 23:00 - 04.01.2021 00:00","29587","28914"
"04.01.2021 00:00 - 04.01.2021 01:00","25910","25976"
"04.01.2021 01:00 - 04.01.2021 02:00","23315","23647"
"04.01.2021 02:00 - 04.01.2021 03:00","21890","22424"
"04.01.2021 03:00 - 04.01.2021 04:00","21296","21698"
"04.01.2021 04:00 - 04.01.2021 05:00","21414","21645"
"04.01.2021 05:00 - 04.01.2021 06:00","22293","22403"
"04.01.2021 06:00 - 04.01.2021 07:00","24949","24907"
"04.01.2021 07:00 - 04.01.2021 08:00","29155","28440"
"04.01.2021 08:00 - 04.01.2021 09:00","32949","31803"
"04.01.2021 09:00 - 04.01.2021 10:00","35256","34825"
"04.01.2021 10:00 - 04.01.2021 11:00","36806","36333"
"04.01.2021 11:00 - 04.01.2021 12:00","36903","36518"
"04.01.2021 12:00 - 04.01.2021 13:00","36462","36295"
"04.01.2021 13:00 - 04.01.2021 14:00","36441","36733"
"04.01.2021 14:00 - 04.01.2021 15:00","35982","36336"
"04.01.2021 15:00 - 04.01.2021 16:00","35200","35425"
"04.01.2021 16:00 - 04.01.2021 17:00","34840","34863"
"04.01.2021 17:00 - 04.01.2021 18:00","35072","35077"
"04.01.2021 18:00 - 04.01.2021 19:00","36562","36517"
"04.01.2021 19:00 - 04.01.2021 20:00","37221","37315"
"04.01.2021 20:00 - 04.01.2021 21:00","37691","37926"
"04.01.2021 21:00 - 04.01.2021 22:00","37028","37522"
"04.01.2021 22:00 - 04.01.2021 23:00","34380","34911"
"04.01.2021 23:00 - 05.01.2021 00:00","30979","31524"
"05.01.2021 00:00 - 05.01.2021 01:00","28004","28629"
