"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","365","n/e","n/e","n/e","5292","9","198","n/e","n/e","n/e","630","","4844","1107","n/e","50378","n/e","n/e","0","247","n/e","1082"
"France (FR)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","365","n/e","n/e","n/e","4265","9","207","n/e","n/e","n/e","574","","4723","901","n/e","49465","n/e","n/e","0","251","n/e","1075"
"France (FR)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","364","n/e","n/e","n/e","3876","9","206","n/e","n/e","n/e","","127","4516","802","n/e","48294","n/e","n/e","0","256","n/e","1086"
"France (FR)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","364","n/e","n/e","n/e","3610","9","207","n/e","n/e","n/e","","1290","4442","937","n/e","48380","n/e","n/e","0","253","n/e","1149"
"France (FR)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","364","n/e","n/e","n/e","3472","9","207","n/e","n/e","n/e","","1623","4212","1000","n/e","48560","n/e","n/e","0","251","n/e","1170"
"France (FR)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","361","n/e","n/e","n/e","3464","9","207","n/e","n/e","n/e","","2512","4138","669","n/e","48534","n/e","n/e","0","247","n/e","1190"
"France (FR)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","361","n/e","n/e","n/e","3489","9","207","n/e","n/e","n/e","","2653","4255","814","n/e","48558","n/e","n/e","0","248","n/e","1261"
"France (FR)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","365","n/e","n/e","n/e","3553","9","207","n/e","n/e","n/e","","2562","4446","1488","n/e","48677","n/e","n/e","0","245","n/e","1275"
"France (FR)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","363","n/e","n/e","n/e","3547","9","206","n/e","n/e","n/e","","2530","4484","690","n/e","49538","n/e","n/e","179","247","n/e","1323"
"France (FR)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","362","n/e","n/e","n/e","3628","9","206","n/e","n/e","n/e","","2468","4761","448","n/e","50023","n/e","n/e","505","247","n/e","1294"
"France (FR)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","363","n/e","n/e","n/e","3746","9","207","n/e","n/e","n/e","","2125","4817","504","n/e","50316","n/e","n/e","1347","248","n/e","1237"
"France (FR)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","364","n/e","n/e","n/e","3892","10","207","n/e","n/e","n/e","","1765","4784","584","n/e","50616","n/e","n/e","2019","245","n/e","1156"
"France (FR)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","362","n/e","n/e","n/e","3782","9","206","n/e","n/e","n/e","","307","4819","741","n/e","50295","n/e","n/e","2407","245","n/e","1054"
"France (FR)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","362","n/e","n/e","n/e","3723","9","207","n/e","n/e","n/e","","730","4783","1077","n/e","50404","n/e","n/e","2335","245","n/e","1036"
"France (FR)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","363","n/e","n/e","n/e","3782","9","207","n/e","n/e","n/e","","1553","4748","1279","n/e","50354","n/e","n/e","1907","248","n/e","1136"
"France (FR)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","362","n/e","n/e","n/e","4234","9","207","n/e","n/e","n/e","","1405","4663","1171","n/e","50335","n/e","n/e","1152","246","n/e","1226"
"France (FR)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","362","n/e","n/e","n/e","4974","9","206","n/e","n/e","n/e","","349","4762","1025","n/e","50531","n/e","n/e","437","248","n/e","1299"
"France (FR)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","363","n/e","n/e","n/e","5428","9","207","n/e","n/e","n/e","586","","4835","1389","n/e","50698","n/e","n/e","166","249","n/e","1434"
"France (FR)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","363","n/e","n/e","n/e","5664","9","207","n/e","n/e","n/e","1082","","5402","2228","n/e","50772","n/e","n/e","0","249","n/e","1608"
"France (FR)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","369","n/e","n/e","n/e","5636","9","206","n/e","n/e","n/e","1028","","5482","1953","n/e","50758","n/e","n/e","0","248","n/e","1645"
"France (FR)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","370","n/e","n/e","n/e","5688","9","206","n/e","n/e","n/e","634","","5217","2076","n/e","51125","n/e","n/e","0","250","n/e","1632"
"France (FR)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","370","n/e","n/e","n/e","5565","9","206","n/e","n/e","n/e","258","","4934","1283","n/e","51158","n/e","n/e","0","250","n/e","1570"
"France (FR)","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","370","n/e","n/e","n/e","5451","9","206","n/e","n/e","n/e","254","","4619","748","n/e","50927","n/e","n/e","0","248","n/e","1502"
"France (FR)","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","369","n/e","n/e","n/e","5467","9","206","n/e","n/e","n/e","466","","4614","687","n/e","50872","n/e","n/e","0","251","n/e","1486"
"France (FR)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","370","n/e","n/e","n/e","4808","9","206","n/e","n/e","n/e","341","","4516","838","n/e","50587","n/e","n/e","0","254","n/e","1485"
"France (FR)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","370","n/e","n/e","n/e","4060","9","206","n/e","n/e","n/e","","333","4418","470","n/e","50274","n/e","n/e","0","258","n/e","1505"
"France (FR)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","369","n/e","n/e","n/e","4103","9","206","n/e","n/e","n/e","","1167","4251","335","n/e","50348","n/e","n/e","0","255","n/e","1527"
"France (FR)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","370","n/e","n/e","n/e","3778","9","207","n/e","n/e","n/e","","2578","4144","663","n/e","50308","n/e","n/e","0","257","n/e","1560"
"France (FR)","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","368","n/e","n/e","n/e","3819","9","207","n/e","n/e","n/e","","2880","4115","1100","n/e","50237","n/e","n/e","0","254","n/e","1647"
"France (FR)","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","368","n/e","n/e","n/e","3873","9","207","n/e","n/e","n/e","","2781","4047","659","n/e","50350","n/e","n/e","0","252","n/e","1767"
