"Time (CET/CEST)","Belgium (BE) > France (FR) [MW]","France (FR) > Belgium (BE) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","477","0"
"01.01.2021 01:00 - 01.01.2021 02:00","645","0"
"01.01.2021 02:00 - 01.01.2021 03:00","906","0"
"01.01.2021 03:00 - 01.01.2021 04:00","159","0"
"01.01.2021 04:00 - 01.01.2021 05:00","0","207"
"01.01.2021 05:00 - 01.01.2021 06:00","113","0"
"01.01.2021 06:00 - 01.01.2021 07:00","452","0"
"01.01.2021 07:00 - 01.01.2021 08:00","544","0"
"01.01.2021 08:00 - 01.01.2021 09:00","377","0"
"01.01.2021 09:00 - 01.01.2021 10:00","597","0"
"01.01.2021 10:00 - 01.01.2021 11:00","665","0"
"01.01.2021 11:00 - 01.01.2021 12:00","667","0"
"01.01.2021 12:00 - 01.01.2021 13:00","907","0"
"01.01.2021 13:00 - 01.01.2021 14:00","579","0"
"01.01.2021 14:00 - 01.01.2021 15:00","105","0"
"01.01.2021 15:00 - 01.01.2021 16:00","0","486"
"01.01.2021 16:00 - 01.01.2021 17:00","0","1042"
"01.01.2021 17:00 - 01.01.2021 18:00","0","695"
"01.01.2021 18:00 - 01.01.2021 19:00","7","0"
"01.01.2021 19:00 - 01.01.2021 20:00","781","0"
"01.01.2021 20:00 - 01.01.2021 21:00","1085","0"
"01.01.2021 21:00 - 01.01.2021 22:00","1596","0"
"01.01.2021 22:00 - 01.01.2021 23:00","1665","0"
"01.01.2021 23:00 - 02.01.2021 00:00","2056","0"
"02.01.2021 00:00 - 02.01.2021 01:00","1452","0"
"02.01.2021 01:00 - 02.01.2021 02:00","858","0"
"02.01.2021 02:00 - 02.01.2021 03:00","504","0"
"02.01.2021 03:00 - 02.01.2021 04:00","202","0"
"02.01.2021 04:00 - 02.01.2021 05:00","0","97"
"02.01.2021 05:00 - 02.01.2021 06:00","89","0"
"02.01.2021 06:00 - 02.01.2021 07:00","478","0"
"02.01.2021 07:00 - 02.01.2021 08:00","1144","0"
"02.01.2021 08:00 - 02.01.2021 09:00","1525","0"
"02.01.2021 09:00 - 02.01.2021 10:00","1648","0"
"02.01.2021 10:00 - 02.01.2021 11:00","1390","0"
"02.01.2021 11:00 - 02.01.2021 12:00","1159","0"
"02.01.2021 12:00 - 02.01.2021 13:00","1670","0"
"02.01.2021 13:00 - 02.01.2021 14:00","1082","0"
"02.01.2021 14:00 - 02.01.2021 15:00","582","0"
"02.01.2021 15:00 - 02.01.2021 16:00","276","0"
"02.01.2021 16:00 - 02.01.2021 17:00","38","0"
"02.01.2021 17:00 - 02.01.2021 18:00","0","200"
"02.01.2021 18:00 - 02.01.2021 19:00","688","0"
"02.01.2021 19:00 - 02.01.2021 20:00","1718","0"
"02.01.2021 20:00 - 02.01.2021 21:00","2313","0"
"02.01.2021 21:00 - 02.01.2021 22:00","2615","0"
"02.01.2021 22:00 - 02.01.2021 23:00","2345","0"
"02.01.2021 23:00 - 03.01.2021 00:00","2455","0"
"03.01.2021 00:00 - 03.01.2021 01:00","1603","0"
"03.01.2021 01:00 - 03.01.2021 02:00","1359","0"
"03.01.2021 02:00 - 03.01.2021 03:00","1336","0"
"03.01.2021 03:00 - 03.01.2021 04:00","1406","0"
"03.01.2021 04:00 - 03.01.2021 05:00","1313","0"
"03.01.2021 05:00 - 03.01.2021 06:00","1515","0"
"03.01.2021 06:00 - 03.01.2021 07:00","1886","0"
"03.01.2021 07:00 - 03.01.2021 08:00","2595","0"
"03.01.2021 08:00 - 03.01.2021 09:00","2608","0"
"03.01.2021 09:00 - 03.01.2021 10:00","2404","0"
"03.01.2021 10:00 - 03.01.2021 11:00","2378","0"
"03.01.2021 11:00 - 03.01.2021 12:00","2364","0"
"03.01.2021 12:00 - 03.01.2021 13:00","2586","0"
"03.01.2021 13:00 - 03.01.2021 14:00","2495","0"
"03.01.2021 14:00 - 03.01.2021 15:00","2490","0"
"03.01.2021 15:00 - 03.01.2021 16:00","2294","0"
"03.01.2021 16:00 - 03.01.2021 17:00","1999","0"
"03.01.2021 17:00 - 03.01.2021 18:00","2032","0"
"03.01.2021 18:00 - 03.01.2021 19:00","3247","0"
"03.01.2021 19:00 - 03.01.2021 20:00","3238","0"
"03.01.2021 20:00 - 03.01.2021 21:00","3113","0"
"03.01.2021 21:00 - 03.01.2021 22:00","2894","0"
"03.01.2021 22:00 - 03.01.2021 23:00","2586","0"
"03.01.2021 23:00 - 04.01.2021 00:00","2757","0"
"04.01.2021 00:00 - 04.01.2021 01:00","2123","0"
"04.01.2021 01:00 - 04.01.2021 02:00","2370","0"
"04.01.2021 02:00 - 04.01.2021 03:00","2279","0"
"04.01.2021 03:00 - 04.01.2021 04:00","2173","0"
"04.01.2021 04:00 - 04.01.2021 05:00","1949","0"
