"Time (CET/CEST)","Switzerland (CH) > France (FR) [MW]","France (FR) > Switzerland (CH) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","542","0"
"01.01.2021 01:00 - 01.01.2021 02:00","470","0"
"01.01.2021 02:00 - 01.01.2021 03:00","358","0"
"01.01.2021 03:00 - 01.01.2021 04:00","0","92"
"01.01.2021 04:00 - 01.01.2021 05:00","0","591"
"01.01.2021 05:00 - 01.01.2021 06:00","0","286"
"01.01.2021 06:00 - 01.01.2021 07:00","0","310"
"01.01.2021 07:00 - 01.01.2021 08:00","0","385"
"01.01.2021 08:00 - 01.01.2021 09:00","0","192"
"01.01.2021 09:00 - 01.01.2021 10:00","0","82"
"01.01.2021 10:00 - 01.01.2021 11:00","48","0"
"01.01.2021 11:00 - 01.01.2021 12:00","258","0"
"01.01.2021 12:00 - 01.01.2021 13:00","626","0"
"01.01.2021 13:00 - 01.01.2021 14:00","248","0"
"01.01.2021 14:00 - 01.01.2021 15:00","0","273"
"01.01.2021 15:00 - 01.01.2021 16:00","0","535"
"01.01.2021 16:00 - 01.01.2021 17:00","0","439"
"01.01.2021 17:00 - 01.01.2021 18:00","862","0"
"01.01.2021 18:00 - 01.01.2021 19:00","1048","0"
"01.01.2021 19:00 - 01.01.2021 20:00","1271","0"
"01.01.2021 20:00 - 01.01.2021 21:00","572","0"
"01.01.2021 21:00 - 01.01.2021 22:00","133","0"
"01.01.2021 22:00 - 01.01.2021 23:00","567","0"
"01.01.2021 23:00 - 02.01.2021 00:00","593","0"
"02.01.2021 00:00 - 02.01.2021 01:00","502","0"
"02.01.2021 01:00 - 02.01.2021 02:00","441","0"
"02.01.2021 02:00 - 02.01.2021 03:00","249","0"
"02.01.2021 03:00 - 02.01.2021 04:00","105","0"
"02.01.2021 04:00 - 02.01.2021 05:00","0","155"
"02.01.2021 05:00 - 02.01.2021 06:00","0","28"
"02.01.2021 06:00 - 02.01.2021 07:00","0","142"
"02.01.2021 07:00 - 02.01.2021 08:00","0","325"
"02.01.2021 08:00 - 02.01.2021 09:00","0","396"
"02.01.2021 09:00 - 02.01.2021 10:00","0","30"
"02.01.2021 10:00 - 02.01.2021 11:00","55","0"
"02.01.2021 11:00 - 02.01.2021 12:00","178","0"
"02.01.2021 12:00 - 02.01.2021 13:00","437","0"
"02.01.2021 13:00 - 02.01.2021 14:00","0","49"
"02.01.2021 14:00 - 02.01.2021 15:00","0","304"
"02.01.2021 15:00 - 02.01.2021 16:00","0","606"
"02.01.2021 16:00 - 02.01.2021 17:00","0","271"
"02.01.2021 17:00 - 02.01.2021 18:00","1232","0"
"02.01.2021 18:00 - 02.01.2021 19:00","1322","0"
"02.01.2021 19:00 - 02.01.2021 20:00","1079","0"
"02.01.2021 20:00 - 02.01.2021 21:00","389","0"
"02.01.2021 21:00 - 02.01.2021 22:00","507","0"
"02.01.2021 22:00 - 02.01.2021 23:00","521","0"
"02.01.2021 23:00 - 03.01.2021 00:00","824","0"
"03.01.2021 00:00 - 03.01.2021 01:00","767","0"
"03.01.2021 01:00 - 03.01.2021 02:00","1156","0"
"03.01.2021 02:00 - 03.01.2021 03:00","1011","0"
"03.01.2021 03:00 - 03.01.2021 04:00","509","0"
"03.01.2021 04:00 - 03.01.2021 05:00","397","0"
"03.01.2021 05:00 - 03.01.2021 06:00","513","0"
"03.01.2021 06:00 - 03.01.2021 07:00","695","0"
"03.01.2021 07:00 - 03.01.2021 08:00","1024","0"
"03.01.2021 08:00 - 03.01.2021 09:00","1312","0"
"03.01.2021 09:00 - 03.01.2021 10:00","684","0"
"03.01.2021 10:00 - 03.01.2021 11:00","675","0"
"03.01.2021 11:00 - 03.01.2021 12:00","823","0"
"03.01.2021 12:00 - 03.01.2021 13:00","1237","0"
"03.01.2021 13:00 - 03.01.2021 14:00","677","0"
"03.01.2021 14:00 - 03.01.2021 15:00","416","0"
"03.01.2021 15:00 - 03.01.2021 16:00","0","31"
"03.01.2021 16:00 - 03.01.2021 17:00","0","159"
"03.01.2021 17:00 - 03.01.2021 18:00","134","0"
"03.01.2021 18:00 - 03.01.2021 19:00","1499","0"
"03.01.2021 19:00 - 03.01.2021 20:00","1838","0"
"03.01.2021 20:00 - 03.01.2021 21:00","1491","0"
"03.01.2021 21:00 - 03.01.2021 22:00","947","0"
"03.01.2021 22:00 - 03.01.2021 23:00","1246","0"
"03.01.2021 23:00 - 04.01.2021 00:00","1014","0"
"04.01.2021 00:00 - 04.01.2021 01:00","1046","0"
"04.01.2021 01:00 - 04.01.2021 02:00","729","0"
"04.01.2021 02:00 - 04.01.2021 03:00","697","0"
"04.01.2021 03:00 - 04.01.2021 04:00","516","0"
"04.01.2021 04:00 - 04.01.2021 05:00","290","0"
"04.01.2021 05:00 - 04.01.2021 06:00","402","0"
"04.01.2021 06:00 - 04.01.2021 07:00","481","0"
"04.01.2021 07:00 - 04.01.2021 08:00","1380","0"
"04.01.2021 08:00 - 04.01.2021 09:00","1664","0"
"04.01.2021 09:00 - 04.01.2021 10:00","2322","0"
"04.01.2021 10:00 - 04.01.2021 11:00","2354","0"
"04.01.2021 11:00 - 04.01.2021 12:00","2052","0"
"04.01.2021 12:00 - 04.01.2021 13:00","2223","0"
"04.01.2021 13:00 - 04.01.2021 14:00","2384","0"
"04.01.2021 14:00 - 04.01.2021 15:00","1909","0"
"04.01.2021 15:00 - 04.01.2021 16:00","1528","0"
"04.01.2021 16:00 - 04.01.2021 17:00","1284","0"
"04.01.2021 17:00 - 04.01.2021 18:00","2127","0"
"04.01.2021 18:00 - 04.01.2021 19:00","2674","0"
"04.01.2021 19:00 - 04.01.2021 20:00","2438","0"
