"Time (CET/CEST)","Germany (DE) > France (FR) [MW]","France (FR) > Germany (DE) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","1235","0"
"01.01.2021 01:00 - 01.01.2021 02:00","1122","0"
"01.01.2021 02:00 - 01.01.2021 03:00","1189","0"
"01.01.2021 03:00 - 01.01.2021 04:00","414","0"
"01.01.2021 04:00 - 01.01.2021 05:00","0","335"
"01.01.2021 05:00 - 01.01.2021 06:00","141","0"
"01.01.2021 06:00 - 01.01.2021 07:00","457","0"
"01.01.2021 07:00 - 01.01.2021 08:00","588","0"
"01.01.2021 08:00 - 01.01.2021 09:00","640","0"
"01.01.2021 09:00 - 01.01.2021 10:00","584","0"
"01.01.2021 10:00 - 01.01.2021 11:00","741","0"
"01.01.2021 11:00 - 01.01.2021 12:00","762","0"
"01.01.2021 12:00 - 01.01.2021 13:00","1103","0"
"01.01.2021 13:00 - 01.01.2021 14:00","705","0"
"01.01.2021 14:00 - 01.01.2021 15:00","75","0"
"01.01.2021 15:00 - 01.01.2021 16:00","0","392"
"01.01.2021 16:00 - 01.01.2021 17:00","0","929"
"01.01.2021 17:00 - 01.01.2021 18:00","0","450"
"01.01.2021 18:00 - 01.01.2021 19:00","82","0"
"01.01.2021 19:00 - 01.01.2021 20:00","793","0"
"01.01.2021 20:00 - 01.01.2021 21:00","523","0"
"01.01.2021 21:00 - 01.01.2021 22:00","775","0"
"01.01.2021 22:00 - 01.01.2021 23:00","1151","0"
"01.01.2021 23:00 - 02.01.2021 00:00","1461","0"
"02.01.2021 00:00 - 02.01.2021 01:00","1298","0"
"02.01.2021 01:00 - 02.01.2021 02:00","1293","0"
"02.01.2021 02:00 - 02.01.2021 03:00","719","0"
"02.01.2021 03:00 - 02.01.2021 04:00","607","0"
"02.01.2021 04:00 - 02.01.2021 05:00","302","0"
"02.01.2021 05:00 - 02.01.2021 06:00","492","0"
"02.01.2021 06:00 - 02.01.2021 07:00","776","0"
"02.01.2021 07:00 - 02.01.2021 08:00","1040","0"
"02.01.2021 08:00 - 02.01.2021 09:00","960","0"
"02.01.2021 09:00 - 02.01.2021 10:00","1357","0"
"02.01.2021 10:00 - 02.01.2021 11:00","1424","0"
"02.01.2021 11:00 - 02.01.2021 12:00","1231","0"
"02.01.2021 12:00 - 02.01.2021 13:00","1210","0"
"02.01.2021 13:00 - 02.01.2021 14:00","752","0"
"02.01.2021 14:00 - 02.01.2021 15:00","398","0"
"02.01.2021 15:00 - 02.01.2021 16:00","0","41"
