"Time (CET/CEST)","France (FR) > Spain (ES) [MW]","Spain (ES) > France (FR) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","1731"
"01.01.2021 01:00 - 01.01.2021 02:00","0","2573"
"01.01.2021 02:00 - 01.01.2021 03:00","0","3176"
"01.01.2021 03:00 - 01.01.2021 04:00","0","3210"
"01.01.2021 04:00 - 01.01.2021 05:00","0","3212"
"01.01.2021 05:00 - 01.01.2021 06:00","0","3197"
"01.01.2021 06:00 - 01.01.2021 07:00","0","3185"
"01.01.2021 07:00 - 01.01.2021 08:00","0","3143"
"01.01.2021 08:00 - 01.01.2021 09:00","0","3163"
"01.01.2021 09:00 - 01.01.2021 10:00","0","3165"
"01.01.2021 10:00 - 01.01.2021 11:00","0","3150"
"01.01.2021 11:00 - 01.01.2021 12:00","0","3112"
"01.01.2021 12:00 - 01.01.2021 13:00","0","3040"
"01.01.2021 13:00 - 01.01.2021 14:00","0","3047"
"01.01.2021 14:00 - 01.01.2021 15:00","0","3095"
"01.01.2021 15:00 - 01.01.2021 16:00","0","3222"
"01.01.2021 16:00 - 01.01.2021 17:00","0","3177"
"01.01.2021 17:00 - 01.01.2021 18:00","0","2669"
"01.01.2021 18:00 - 01.01.2021 19:00","0","2572"
"01.01.2021 19:00 - 01.01.2021 20:00","0","2560"
"01.01.2021 20:00 - 01.01.2021 21:00","0","2535"
"01.01.2021 21:00 - 01.01.2021 22:00","0","1125"
"01.01.2021 22:00 - 01.01.2021 23:00","0","1720"
"01.01.2021 23:00 - 02.01.2021 00:00","0","1416"
"02.01.2021 00:00 - 02.01.2021 01:00","0","833"
"02.01.2021 01:00 - 02.01.2021 02:00","0","2010"
"02.01.2021 02:00 - 02.01.2021 03:00","0","3007"
"02.01.2021 03:00 - 02.01.2021 04:00","0","2703"
"02.01.2021 04:00 - 02.01.2021 05:00","0","2527"
"02.01.2021 05:00 - 02.01.2021 06:00","0","3167"
"02.01.2021 06:00 - 02.01.2021 07:00","0","3486"
"02.01.2021 07:00 - 02.01.2021 08:00","0","3241"
"02.01.2021 08:00 - 02.01.2021 09:00","0","3280"
"02.01.2021 09:00 - 02.01.2021 10:00","0","3230"
"02.01.2021 10:00 - 02.01.2021 11:00","0","3224"
"02.01.2021 11:00 - 02.01.2021 12:00","0","3156"
"02.01.2021 12:00 - 02.01.2021 13:00","0","3124"
"02.01.2021 13:00 - 02.01.2021 14:00","0","3101"
"02.01.2021 14:00 - 02.01.2021 15:00","0","2897"
"02.01.2021 15:00 - 02.01.2021 16:00","0","2905"
"02.01.2021 16:00 - 02.01.2021 17:00","0","2845"
"02.01.2021 17:00 - 02.01.2021 18:00","0","2576"
"02.01.2021 18:00 - 02.01.2021 19:00","0","2568"
"02.01.2021 19:00 - 02.01.2021 20:00","0","2568"
"02.01.2021 20:00 - 02.01.2021 21:00","0","921"
"02.01.2021 21:00 - 02.01.2021 22:00","1694","0"
"02.01.2021 22:00 - 02.01.2021 23:00","744","0"
"02.01.2021 23:00 - 03.01.2021 00:00","416","0"
"03.01.2021 00:00 - 03.01.2021 01:00","0","1053"
"03.01.2021 01:00 - 03.01.2021 02:00","0","1713"
"03.01.2021 02:00 - 03.01.2021 03:00","0","1372"
"03.01.2021 03:00 - 03.01.2021 04:00","0","636"
"03.01.2021 04:00 - 03.01.2021 05:00","0","523"
"03.01.2021 05:00 - 03.01.2021 06:00","0","246"
"03.01.2021 06:00 - 03.01.2021 07:00","234","0"
"03.01.2021 07:00 - 03.01.2021 08:00","606","0"
"03.01.2021 08:00 - 03.01.2021 09:00","81","0"
"03.01.2021 09:00 - 03.01.2021 10:00","0","1473"
"03.01.2021 10:00 - 03.01.2021 11:00","0","1873"
"03.01.2021 11:00 - 03.01.2021 12:00","0","2508"
"03.01.2021 12:00 - 03.01.2021 13:00","0","2779"
"03.01.2021 13:00 - 03.01.2021 14:00","0","2164"
"03.01.2021 14:00 - 03.01.2021 15:00","0","1440"
"03.01.2021 15:00 - 03.01.2021 16:00","0","1914"
"03.01.2021 16:00 - 03.01.2021 17:00","0","1596"
"03.01.2021 17:00 - 03.01.2021 18:00","0","1953"
"03.01.2021 18:00 - 03.01.2021 19:00","70","0"
"03.01.2021 19:00 - 03.01.2021 20:00","1642","0"
"03.01.2021 20:00 - 03.01.2021 21:00","3010","0"
"03.01.2021 21:00 - 03.01.2021 22:00","2867","0"
"03.01.2021 22:00 - 03.01.2021 23:00","2718","0"
"03.01.2021 23:00 - 04.01.2021 00:00","2099","0"
"04.01.2021 00:00 - 04.01.2021 01:00","2335","0"
"04.01.2021 01:00 - 04.01.2021 02:00","1259","0"
"04.01.2021 02:00 - 04.01.2021 03:00","918","0"
"04.01.2021 03:00 - 04.01.2021 04:00","1134","0"
"04.01.2021 04:00 - 04.01.2021 05:00","852","0"
"04.01.2021 05:00 - 04.01.2021 06:00","155","0"
"04.01.2021 06:00 - 04.01.2021 07:00","0","684"
"04.01.2021 07:00 - 04.01.2021 08:00","0","1356"
"04.01.2021 08:00 - 04.01.2021 09:00","0","1020"
"04.01.2021 09:00 - 04.01.2021 10:00","0","513"
"04.01.2021 10:00 - 04.01.2021 11:00","0","541"
"04.01.2021 11:00 - 04.01.2021 12:00","0","1135"
"04.01.2021 12:00 - 04.01.2021 13:00","0","1489"
"04.01.2021 13:00 - 04.01.2021 14:00","0","1767"
"04.01.2021 14:00 - 04.01.2021 15:00","0","1468"
"04.01.2021 15:00 - 04.01.2021 16:00","0","1953"
"04.01.2021 16:00 - 04.01.2021 17:00","0","930"
"04.01.2021 17:00 - 04.01.2021 18:00","0","779"
"04.01.2021 18:00 - 04.01.2021 19:00","619","0"
"04.01.2021 19:00 - 04.01.2021 20:00","1535","0"
"04.01.2021 20:00 - 04.01.2021 21:00","3117","0"
"04.01.2021 21:00 - 04.01.2021 22:00","3081","0"
"04.01.2021 22:00 - 04.01.2021 23:00","2917","0"
"04.01.2021 23:00 - 05.01.2021 00:00","2825","0"
"05.01.2021 00:00 - 05.01.2021 01:00","2804","0"
"05.01.2021 01:00 - 05.01.2021 02:00","2590","0"
"05.01.2021 02:00 - 05.01.2021 03:00","2681","0"
"05.01.2021 03:00 - 05.01.2021 04:00","2669","0"
"05.01.2021 04:00 - 05.01.2021 05:00","2978","0"
"05.01.2021 05:00 - 05.01.2021 06:00","2950","0"
"05.01.2021 06:00 - 05.01.2021 07:00","2801","0"
"05.01.2021 07:00 - 05.01.2021 08:00","1892","0"
"05.01.2021 08:00 - 05.01.2021 09:00","2055","0"
"05.01.2021 09:00 - 05.01.2021 10:00","2726","0"
"05.01.2021 10:00 - 05.01.2021 11:00","2830","0"
"05.01.2021 11:00 - 05.01.2021 12:00","2746","0"
"05.01.2021 12:00 - 05.01.2021 13:00","2824","0"
"05.01.2021 13:00 - 05.01.2021 14:00","2352","0"
"05.01.2021 14:00 - 05.01.2021 15:00","2463","0"
"05.01.2021 15:00 - 05.01.2021 16:00","2880","0"
"05.01.2021 16:00 - 05.01.2021 17:00","3189","0"
"05.01.2021 17:00 - 05.01.2021 18:00","3207","0"
"05.01.2021 18:00 - 05.01.2021 19:00","2054","0"
"05.01.2021 19:00 - 05.01.2021 20:00","2779","0"
"05.01.2021 20:00 - 05.01.2021 21:00","3178","0"
"05.01.2021 21:00 - 05.01.2021 22:00","3136","0"
"05.01.2021 22:00 - 05.01.2021 23:00","3150","0"
"05.01.2021 23:00 - 06.01.2021 00:00","3101","0"
"06.01.2021 00:00 - 06.01.2021 01:00","2527","0"
"06.01.2021 01:00 - 06.01.2021 02:00","2507","0"
"06.01.2021 02:00 - 06.01.2021 03:00","2507","0"
"06.01.2021 03:00 - 06.01.2021 04:00","2586","0"
"06.01.2021 04:00 - 06.01.2021 05:00","2585","0"
"06.01.2021 05:00 - 06.01.2021 06:00","2589","0"
"06.01.2021 06:00 - 06.01.2021 07:00","2557","0"
"06.01.2021 07:00 - 06.01.2021 08:00","0","145"
"06.01.2021 08:00 - 06.01.2021 09:00","0","1808"
"06.01.2021 09:00 - 06.01.2021 10:00","0","2046"
"06.01.2021 10:00 - 06.01.2021 11:00","0","2002"
"06.01.2021 11:00 - 06.01.2021 12:00","0","1580"
"06.01.2021 12:00 - 06.01.2021 13:00","0","1128"
"06.01.2021 13:00 - 06.01.2021 14:00","434","0"
"06.01.2021 14:00 - 06.01.2021 15:00","1083","0"
"06.01.2021 15:00 - 06.01.2021 16:00","1014","0"
"06.01.2021 16:00 - 06.01.2021 17:00","581","0"
"06.01.2021 17:00 - 06.01.2021 18:00","0","1203"
"06.01.2021 18:00 - 06.01.2021 19:00","0","983"
"06.01.2021 19:00 - 06.01.2021 20:00","0","91"
"06.01.2021 20:00 - 06.01.2021 21:00","2535","0"
"06.01.2021 21:00 - 06.01.2021 22:00","2595","0"
"06.01.2021 22:00 - 06.01.2021 23:00","2516","0"
"06.01.2021 23:00 - 07.01.2021 00:00","2538","0"
"07.01.2021 00:00 - 07.01.2021 01:00","2533","0"
"07.01.2021 01:00 - 07.01.2021 02:00","2413","0"
"07.01.2021 02:00 - 07.01.2021 03:00","2513","0"
"07.01.2021 03:00 - 07.01.2021 04:00","2537","0"
"07.01.2021 04:00 - 07.01.2021 05:00","2616","0"
"07.01.2021 05:00 - 07.01.2021 06:00","2651","0"
"07.01.2021 06:00 - 07.01.2021 07:00","2581","0"
"07.01.2021 07:00 - 07.01.2021 08:00","2390","0"
"07.01.2021 08:00 - 07.01.2021 09:00","2920","0"
"07.01.2021 09:00 - 07.01.2021 10:00","2943","0"
"07.01.2021 10:00 - 07.01.2021 11:00","2951","0"
"07.01.2021 11:00 - 07.01.2021 12:00","2956","0"
"07.01.2021 12:00 - 07.01.2021 13:00","3476","0"
"07.01.2021 13:00 - 07.01.2021 14:00","3547","0"
"07.01.2021 14:00 - 07.01.2021 15:00","3316","0"
"07.01.2021 15:00 - 07.01.2021 16:00","3264","0"
"07.01.2021 16:00 - 07.01.2021 17:00","3336","0"
"07.01.2021 17:00 - 07.01.2021 18:00","3009","0"
"07.01.2021 18:00 - 07.01.2021 19:00","2969","0"
"07.01.2021 19:00 - 07.01.2021 20:00","3023","0"
"07.01.2021 20:00 - 07.01.2021 21:00","3025","0"
"07.01.2021 21:00 - 07.01.2021 22:00","2896","0"
"07.01.2021 22:00 - 07.01.2021 23:00","2934","0"
"07.01.2021 23:00 - 08.01.2021 00:00","2929","0"
"08.01.2021 00:00 - 08.01.2021 01:00","2796","0"
"08.01.2021 01:00 - 08.01.2021 02:00","2727","0"
"08.01.2021 02:00 - 08.01.2021 03:00","2756","0"
"08.01.2021 03:00 - 08.01.2021 04:00","2739","0"
"08.01.2021 04:00 - 08.01.2021 05:00","2783","0"
"08.01.2021 05:00 - 08.01.2021 06:00","2874","0"
"08.01.2021 06:00 - 08.01.2021 07:00","2841","0"
"08.01.2021 07:00 - 08.01.2021 08:00","2145","0"
"08.01.2021 08:00 - 08.01.2021 09:00","2741","0"
"08.01.2021 09:00 - 08.01.2021 10:00","3595","0"
"08.01.2021 10:00 - 08.01.2021 11:00","3538","0"
"08.01.2021 11:00 - 08.01.2021 12:00","3253","0"
"08.01.2021 12:00 - 08.01.2021 13:00","3389","0"
"08.01.2021 13:00 - 08.01.2021 14:00","3385","0"
"08.01.2021 14:00 - 08.01.2021 15:00","2021","0"
"08.01.2021 15:00 - 08.01.2021 16:00","1814","0"
"08.01.2021 16:00 - 08.01.2021 17:00","2129","0"
"08.01.2021 17:00 - 08.01.2021 18:00","1653","0"
"08.01.2021 18:00 - 08.01.2021 19:00","1792","0"
"08.01.2021 19:00 - 08.01.2021 20:00","2814","0"
