"Time (CET/CEST)","Italy (IT) > France (FR) [MW]","France (FR) > Italy (IT) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","371"
"01.01.2021 01:00 - 01.01.2021 02:00","0","491"
"01.01.2021 02:00 - 01.01.2021 03:00","0","262"
"01.01.2021 03:00 - 01.01.2021 04:00","0","412"
"01.01.2021 04:00 - 01.01.2021 05:00","0","557"
"01.01.2021 05:00 - 01.01.2021 06:00","0","237"
"01.01.2021 06:00 - 01.01.2021 07:00","0","393"
"01.01.2021 07:00 - 01.01.2021 08:00","0","801"
"01.01.2021 08:00 - 01.01.2021 09:00","0","657"
"01.01.2021 09:00 - 01.01.2021 10:00","0","483"
"01.01.2021 10:00 - 01.01.2021 11:00","0","484"
"01.01.2021 11:00 - 01.01.2021 12:00","0","309"
"01.01.2021 12:00 - 01.01.2021 13:00","0","169"
"01.01.2021 13:00 - 01.01.2021 14:00","0","324"
"01.01.2021 14:00 - 01.01.2021 15:00","0","652"
"01.01.2021 15:00 - 01.01.2021 16:00","0","837"
"01.01.2021 16:00 - 01.01.2021 17:00","0","1150"
"01.01.2021 17:00 - 01.01.2021 18:00","0","1079"
"01.01.2021 18:00 - 01.01.2021 19:00","0","1170"
"01.01.2021 19:00 - 01.01.2021 20:00","0","1052"
"01.01.2021 20:00 - 01.01.2021 21:00","0","1369"
"01.01.2021 21:00 - 01.01.2021 22:00","0","970"
"01.01.2021 22:00 - 01.01.2021 23:00","0","465"
"01.01.2021 23:00 - 02.01.2021 00:00","0","163"
"02.01.2021 00:00 - 02.01.2021 01:00","42","0"
"02.01.2021 01:00 - 02.01.2021 02:00","0","4"
"02.01.2021 02:00 - 02.01.2021 03:00","8","0"
"02.01.2021 03:00 - 02.01.2021 04:00","132","0"
"02.01.2021 04:00 - 02.01.2021 05:00","0","17"
"02.01.2021 05:00 - 02.01.2021 06:00","4","0"
"02.01.2021 06:00 - 02.01.2021 07:00","0","647"
"02.01.2021 07:00 - 02.01.2021 08:00","0","1001"
"02.01.2021 08:00 - 02.01.2021 09:00","0","1137"
"02.01.2021 09:00 - 02.01.2021 10:00","0","1042"
"02.01.2021 10:00 - 02.01.2021 11:00","0","1148"
"02.01.2021 11:00 - 02.01.2021 12:00","0","1165"
"02.01.2021 12:00 - 02.01.2021 13:00","0","947"
"02.01.2021 13:00 - 02.01.2021 14:00","0","1224"
"02.01.2021 14:00 - 02.01.2021 15:00","0","1355"
"02.01.2021 15:00 - 02.01.2021 16:00","0","1604"
"02.01.2021 16:00 - 02.01.2021 17:00","0","1584"
"02.01.2021 17:00 - 02.01.2021 18:00","0","644"
"02.01.2021 18:00 - 02.01.2021 19:00","0","649"
"02.01.2021 19:00 - 02.01.2021 20:00","0","1062"
"02.01.2021 20:00 - 02.01.2021 21:00","0","1356"
"02.01.2021 21:00 - 02.01.2021 22:00","0","760"
"02.01.2021 22:00 - 02.01.2021 23:00","0","358"
"02.01.2021 23:00 - 03.01.2021 00:00","28","0"
"03.01.2021 00:00 - 03.01.2021 01:00","0","60"
"03.01.2021 01:00 - 03.01.2021 02:00","312","0"
"03.01.2021 02:00 - 03.01.2021 03:00","270","0"
"03.01.2021 03:00 - 03.01.2021 04:00","223","0"
"03.01.2021 04:00 - 03.01.2021 05:00","336","0"
"03.01.2021 05:00 - 03.01.2021 06:00","413","0"
"03.01.2021 06:00 - 03.01.2021 07:00","221","0"
"03.01.2021 07:00 - 03.01.2021 08:00","0","236"
"03.01.2021 08:00 - 03.01.2021 09:00","0","323"
"03.01.2021 09:00 - 03.01.2021 10:00","0","482"
"03.01.2021 10:00 - 03.01.2021 11:00","0","373"
"03.01.2021 11:00 - 03.01.2021 12:00","0","214"
"03.01.2021 12:00 - 03.01.2021 13:00","0","80"
"03.01.2021 13:00 - 03.01.2021 14:00","0","100"
"03.01.2021 14:00 - 03.01.2021 15:00","0","358"
"03.01.2021 15:00 - 03.01.2021 16:00","0","491"
"03.01.2021 16:00 - 03.01.2021 17:00","0","660"
"03.01.2021 17:00 - 03.01.2021 18:00","0","1021"
"03.01.2021 18:00 - 03.01.2021 19:00","0","680"
"03.01.2021 19:00 - 03.01.2021 20:00","0","276"
"03.01.2021 20:00 - 03.01.2021 21:00","0","377"
"03.01.2021 21:00 - 03.01.2021 22:00","0","596"
"03.01.2021 22:00 - 03.01.2021 23:00","0","41"
"03.01.2021 23:00 - 04.01.2021 00:00","131","0"
"04.01.2021 00:00 - 04.01.2021 01:00","315","0"
"04.01.2021 01:00 - 04.01.2021 02:00","706","0"
"04.01.2021 02:00 - 04.01.2021 03:00","948","0"
"04.01.2021 03:00 - 04.01.2021 04:00","724","0"
"04.01.2021 04:00 - 04.01.2021 05:00","514","0"
"04.01.2021 05:00 - 04.01.2021 06:00","222","0"
"04.01.2021 06:00 - 04.01.2021 07:00","0","244"
"04.01.2021 07:00 - 04.01.2021 08:00","0","139"
"04.01.2021 08:00 - 04.01.2021 09:00","0","285"
"04.01.2021 09:00 - 04.01.2021 10:00","338","0"
"04.01.2021 10:00 - 04.01.2021 11:00","400","0"
"04.01.2021 11:00 - 04.01.2021 12:00","95","0"
"04.01.2021 12:00 - 04.01.2021 13:00","101","0"
"04.01.2021 13:00 - 04.01.2021 14:00","290","0"
"04.01.2021 14:00 - 04.01.2021 15:00","0","185"
"04.01.2021 15:00 - 04.01.2021 16:00","0","254"
"04.01.2021 16:00 - 04.01.2021 17:00","0","383"
"04.01.2021 17:00 - 04.01.2021 18:00","0","368"
"04.01.2021 18:00 - 04.01.2021 19:00","0","125"
"04.01.2021 19:00 - 04.01.2021 20:00","0","282"
"04.01.2021 20:00 - 04.01.2021 21:00","585","0"
"04.01.2021 21:00 - 04.01.2021 22:00","366","0"
"04.01.2021 22:00 - 04.01.2021 23:00","899","0"
"04.01.2021 23:00 - 05.01.2021 00:00","1144","0"
"05.01.2021 00:00 - 05.01.2021 01:00","707","0"
"05.01.2021 01:00 - 05.01.2021 02:00","706","0"
"05.01.2021 02:00 - 05.01.2021 03:00","829","0"
"05.01.2021 03:00 - 05.01.2021 04:00","734","0"
"05.01.2021 04:00 - 05.01.2021 05:00","1048","0"
"05.01.2021 05:00 - 05.01.2021 06:00","645","0"
"05.01.2021 06:00 - 05.01.2021 07:00","874","0"
"05.01.2021 07:00 - 05.01.2021 08:00","901","0"
"05.01.2021 08:00 - 05.01.2021 09:00","1309","0"
"05.01.2021 09:00 - 05.01.2021 10:00","909","0"
"05.01.2021 10:00 - 05.01.2021 11:00","985","0"
"05.01.2021 11:00 - 05.01.2021 12:00","759","0"
"05.01.2021 12:00 - 05.01.2021 13:00","845","0"
"05.01.2021 13:00 - 05.01.2021 14:00","772","0"
"05.01.2021 14:00 - 05.01.2021 15:00","646","0"
"05.01.2021 15:00 - 05.01.2021 16:00","991","0"
"05.01.2021 16:00 - 05.01.2021 17:00","967","0"
"05.01.2021 17:00 - 05.01.2021 18:00","1169","0"
"05.01.2021 18:00 - 05.01.2021 19:00","628","0"
"05.01.2021 19:00 - 05.01.2021 20:00","268","0"
"05.01.2021 20:00 - 05.01.2021 21:00","1015","0"
"05.01.2021 21:00 - 05.01.2021 22:00","1094","0"
"05.01.2021 22:00 - 05.01.2021 23:00","1328","0"
"05.01.2021 23:00 - 06.01.2021 00:00","1489","0"
"06.01.2021 00:00 - 06.01.2021 01:00","1133","0"
"06.01.2021 01:00 - 06.01.2021 02:00","1561","0"
"06.01.2021 02:00 - 06.01.2021 03:00","1588","0"
"06.01.2021 03:00 - 06.01.2021 04:00","1542","0"
"06.01.2021 04:00 - 06.01.2021 05:00","1611","0"
"06.01.2021 05:00 - 06.01.2021 06:00","1847","0"
"06.01.2021 06:00 - 06.01.2021 07:00","1880","0"
"06.01.2021 07:00 - 06.01.2021 08:00","1613","0"
"06.01.2021 08:00 - 06.01.2021 09:00","1423","0"
"06.01.2021 09:00 - 06.01.2021 10:00","1265","0"
"06.01.2021 10:00 - 06.01.2021 11:00","923","0"
"06.01.2021 11:00 - 06.01.2021 12:00","901","0"
"06.01.2021 12:00 - 06.01.2021 13:00","924","0"
"06.01.2021 13:00 - 06.01.2021 14:00","1078","0"
"06.01.2021 14:00 - 06.01.2021 15:00","676","0"
"06.01.2021 15:00 - 06.01.2021 16:00","812","0"
"06.01.2021 16:00 - 06.01.2021 17:00","1028","0"
"06.01.2021 17:00 - 06.01.2021 18:00","515","0"
"06.01.2021 18:00 - 06.01.2021 19:00","367","0"
"06.01.2021 19:00 - 06.01.2021 20:00","230","0"
"06.01.2021 20:00 - 06.01.2021 21:00","650","0"
"06.01.2021 21:00 - 06.01.2021 22:00","1033","0"
"06.01.2021 22:00 - 06.01.2021 23:00","1407","0"
"06.01.2021 23:00 - 07.01.2021 00:00","1550","0"
"07.01.2021 00:00 - 07.01.2021 01:00","1630","0"
"07.01.2021 01:00 - 07.01.2021 02:00","1816","0"
"07.01.2021 02:00 - 07.01.2021 03:00","1900","0"
"07.01.2021 03:00 - 07.01.2021 04:00","1783","0"
"07.01.2021 04:00 - 07.01.2021 05:00","1289","0"
"07.01.2021 05:00 - 07.01.2021 06:00","1470","0"
"07.01.2021 06:00 - 07.01.2021 07:00","1239","0"
"07.01.2021 07:00 - 07.01.2021 08:00","1213","0"
"07.01.2021 08:00 - 07.01.2021 09:00","1305","0"
"07.01.2021 09:00 - 07.01.2021 10:00","1080","0"
"07.01.2021 10:00 - 07.01.2021 11:00","882","0"
"07.01.2021 11:00 - 07.01.2021 12:00","943","0"
