"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - France (FR)","Actual Total Load [MW] - France (FR)"
"01.01.2021 00:00 - 01.01.2021 01:00","66500","65761"
"01.01.2021 01:00 - 01.01.2021 02:00","64600","64139"
"01.01.2021 02:00 - 01.01.2021 03:00","63700","62657"
"01.01.2021 03:00 - 01.01.2021 04:00","60600","59481"
"01.01.2021 04:00 - 01.01.2021 05:00","58150","57656"
"01.01.2021 05:00 - 01.01.2021 06:00","57450","57640"
"01.01.2021 06:00 - 01.01.2021 07:00","57700","58365"
"01.01.2021 07:00 - 01.01.2021 08:00","58050","59041"
"01.01.2021 08:00 - 01.01.2021 09:00","58600","59460"
"01.01.2021 09:00 - 01.01.2021 10:00","59300","60770"
"01.01.2021 10:00 - 01.01.2021 11:00","61700","62720"
"01.01.2021 11:00 - 01.01.2021 12:00","63500","64469"
"01.01.2021 12:00 - 01.01.2021 13:00","65550","66837"
"01.01.2021 13:00 - 01.01.2021 14:00","66200","65508"
"01.01.2021 14:00 - 01.01.2021 15:00","63050","62762"
"01.01.2021 15:00 - 01.01.2021 16:00","61300","61217"
"01.01.2021 16:00 - 01.01.2021 17:00","61150","61141"
"01.01.2021 17:00 - 01.01.2021 18:00","63800","64492"
"01.01.2021 18:00 - 01.01.2021 19:00","67550","68046"
"01.01.2021 19:00 - 01.01.2021 20:00","69600","69538"
"01.01.2021 20:00 - 01.01.2021 21:00","69150","68557"
"01.01.2021 21:00 - 01.01.2021 22:00","67100","66305"
"01.01.2021 22:00 - 01.01.2021 23:00","66150","66925"
"01.01.2021 23:00 - 02.01.2021 00:00","68700","67775"
"02.01.2021 00:00 - 02.01.2021 01:00","66250","65566"
"02.01.2021 01:00 - 02.01.2021 02:00","63550","63884"
"02.01.2021 02:00 - 02.01.2021 03:00","63000","62956"
"02.01.2021 03:00 - 02.01.2021 04:00","60600","60746"
"02.01.2021 04:00 - 02.01.2021 05:00","59550","59759"
"02.01.2021 05:00 - 02.01.2021 06:00","59950","60753"
"02.01.2021 06:00 - 02.01.2021 07:00","61600","62473"
"02.01.2021 07:00 - 02.01.2021 08:00","63900","64260"
"02.01.2021 08:00 - 02.01.2021 09:00","66350","66420"
"02.01.2021 09:00 - 02.01.2021 10:00","68500","68998"
"02.01.2021 10:00 - 02.01.2021 11:00","70300","70928"
"02.01.2021 11:00 - 02.01.2021 12:00","71350","72001"
"02.01.2021 12:00 - 02.01.2021 13:00","72600","74471"
"02.01.2021 13:00 - 02.01.2021 14:00","72350","72823"
"02.01.2021 14:00 - 02.01.2021 15:00","69400","69836"
"02.01.2021 15:00 - 02.01.2021 16:00","67500","68079"
"02.01.2021 16:00 - 02.01.2021 17:00","66950","67519"
"02.01.2021 17:00 - 02.01.2021 18:00","69400","70242"
"02.01.2021 18:00 - 02.01.2021 19:00","73950","73325"
"02.01.2021 19:00 - 02.01.2021 20:00","75700","74274"
"02.01.2021 20:00 - 02.01.2021 21:00","73900","71801"
"02.01.2021 21:00 - 02.01.2021 22:00","70950","68804"
"02.01.2021 22:00 - 02.01.2021 23:00","69500","69081"
"02.01.2021 23:00 - 03.01.2021 00:00","71800","69795"
"03.01.2021 00:00 - 03.01.2021 01:00","69600","67227"
"03.01.2021 01:00 - 03.01.2021 02:00","67000","65211"
"03.01.2021 02:00 - 03.01.2021 03:00","66350","63771"
"03.01.2021 03:00 - 03.01.2021 04:00","63700","61026"
"03.01.2021 04:00 - 03.01.2021 05:00","61850","59455"
"03.01.2021 05:00 - 03.01.2021 06:00","61600","59619"
"03.01.2021 06:00 - 03.01.2021 07:00","62500","60605"
"03.01.2021 07:00 - 03.01.2021 08:00","63800","61803"
"03.01.2021 08:00 - 03.01.2021 09:00","65300","63427"
"03.01.2021 09:00 - 03.01.2021 10:00","67350","65988"
"03.01.2021 10:00 - 03.01.2021 11:00","70400","68724"
"03.01.2021 11:00 - 03.01.2021 12:00","72500","70951"
"03.01.2021 12:00 - 03.01.2021 13:00","74950","73616"
"03.01.2021 13:00 - 03.01.2021 14:00","74750","71198"
"03.01.2021 14:00 - 03.01.2021 15:00","71200","67791"
"03.01.2021 15:00 - 03.01.2021 16:00","69100","66013"
"03.01.2021 16:00 - 03.01.2021 17:00","68450","65627"
"03.01.2021 17:00 - 03.01.2021 18:00","71000","68752"
"03.01.2021 18:00 - 03.01.2021 19:00","75650","73060"
"03.01.2021 19:00 - 03.01.2021 20:00","78000","74708"
"03.01.2021 20:00 - 03.01.2021 21:00","76100","72419"
"03.01.2021 21:00 - 03.01.2021 22:00","72750","69361"
"03.01.2021 22:00 - 03.01.2021 23:00","70800","69280"
"03.01.2021 23:00 - 04.01.2021 00:00","72700","N/A"
"04.01.2021 00:00 - 04.01.2021 01:00","69350","67612"
"04.01.2021 01:00 - 04.01.2021 02:00","67100","65987"
"04.01.2021 02:00 - 04.01.2021 03:00","66400","65194"
"04.01.2021 03:00 - 04.01.2021 04:00","64000","62975"
"04.01.2021 04:00 - 04.01.2021 05:00","62550","62283"
"04.01.2021 05:00 - 04.01.2021 06:00","64250","64783"
"04.01.2021 06:00 - 04.01.2021 07:00","68600","70182"
"04.01.2021 07:00 - 04.01.2021 08:00","75750","75867"
"04.01.2021 08:00 - 04.01.2021 09:00","80050","79146"
"04.01.2021 09:00 - 04.01.2021 10:00","80500","80715"
"04.01.2021 10:00 - 04.01.2021 11:00","81250","81555"
"04.01.2021 11:00 - 04.01.2021 12:00","81550","82824"
"04.01.2021 12:00 - 04.01.2021 13:00","82150","84518"
"04.01.2021 13:00 - 04.01.2021 14:00","82100","83214"
"04.01.2021 14:00 - 04.01.2021 15:00","80000","81191"
