"Time (CET/CEST)","United Kingdom (UK) > France (FR) [MW]","France (FR) > United Kingdom (UK) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","2019"
"01.01.2021 01:00 - 01.01.2021 02:00","0","2019"
"01.01.2021 02:00 - 01.01.2021 03:00","0","2019"
"01.01.2021 03:00 - 01.01.2021 04:00","0","2019"
"01.01.2021 04:00 - 01.01.2021 05:00","0","1819"
"01.01.2021 05:00 - 01.01.2021 06:00","0","1818"
"01.01.2021 06:00 - 01.01.2021 07:00","0","1817"
"01.01.2021 07:00 - 01.01.2021 08:00","0","1922"
"01.01.2021 08:00 - 01.01.2021 09:00","0","1923"
"01.01.2021 09:00 - 01.01.2021 10:00","0","2019"
"01.01.2021 10:00 - 01.01.2021 11:00","0","2019"
"01.01.2021 11:00 - 01.01.2021 12:00","0","2019"
"01.01.2021 12:00 - 01.01.2021 13:00","0","2019"
"01.01.2021 13:00 - 01.01.2021 14:00","0","2019"
"01.01.2021 14:00 - 01.01.2021 15:00","0","2019"
"01.01.2021 15:00 - 01.01.2021 16:00","0","2019"
"01.01.2021 16:00 - 01.01.2021 17:00","0","2019"
"01.01.2021 17:00 - 01.01.2021 18:00","0","2019"
"01.01.2021 18:00 - 01.01.2021 19:00","0","2019"
"01.01.2021 19:00 - 01.01.2021 20:00","0","2019"
"01.01.2021 20:00 - 01.01.2021 21:00","0","2018"
"01.01.2021 21:00 - 01.01.2021 22:00","0","2019"
"01.01.2021 22:00 - 01.01.2021 23:00","0","2018"
"01.01.2021 23:00 - 02.01.2021 00:00","0","2019"
"02.01.2021 00:00 - 02.01.2021 01:00","0","2019"
"02.01.2021 01:00 - 02.01.2021 02:00","0","2019"
"02.01.2021 02:00 - 02.01.2021 03:00","0","1923"
"02.01.2021 03:00 - 02.01.2021 04:00","0","1923"
"02.01.2021 04:00 - 02.01.2021 05:00","0","1922"
"02.01.2021 05:00 - 02.01.2021 06:00","0","1922"
"02.01.2021 06:00 - 02.01.2021 07:00","0","1923"
"02.01.2021 07:00 - 02.01.2021 08:00","0","1923"
"02.01.2021 08:00 - 02.01.2021 09:00","0","2019"
"02.01.2021 09:00 - 02.01.2021 10:00","0","2019"
"02.01.2021 10:00 - 02.01.2021 11:00","0","2019"
"02.01.2021 11:00 - 02.01.2021 12:00","0","2019"
"02.01.2021 12:00 - 02.01.2021 13:00","0","2019"
"02.01.2021 13:00 - 02.01.2021 14:00","0","2019"
"02.01.2021 14:00 - 02.01.2021 15:00","0","2019"
"02.01.2021 15:00 - 02.01.2021 16:00","0","2019"
"02.01.2021 16:00 - 02.01.2021 17:00","0","2019"
"02.01.2021 17:00 - 02.01.2021 18:00","0","2019"
"02.01.2021 18:00 - 02.01.2021 19:00","0","2019"
"02.01.2021 19:00 - 02.01.2021 20:00","0","2019"
"02.01.2021 20:00 - 02.01.2021 21:00","0","2019"
"02.01.2021 21:00 - 02.01.2021 22:00","0","2019"
"02.01.2021 22:00 - 02.01.2021 23:00","0","2019"
"02.01.2021 23:00 - 03.01.2021 00:00","0","2019"
"03.01.2021 00:00 - 03.01.2021 01:00","0","2020"
"03.01.2021 01:00 - 03.01.2021 02:00","0","2019"
"03.01.2021 02:00 - 03.01.2021 03:00","0","1923"
"03.01.2021 03:00 - 03.01.2021 04:00","0","1923"
"03.01.2021 04:00 - 03.01.2021 05:00","0","1923"
"03.01.2021 05:00 - 03.01.2021 06:00","0","1818"
"03.01.2021 06:00 - 03.01.2021 07:00","0","1817"
"03.01.2021 07:00 - 03.01.2021 08:00","0","1919"
"03.01.2021 08:00 - 03.01.2021 09:00","0","1475"
"03.01.2021 09:00 - 03.01.2021 10:00","0","2011"
"03.01.2021 10:00 - 03.01.2021 11:00","0","2019"
"03.01.2021 11:00 - 03.01.2021 12:00","0","2019"
"03.01.2021 12:00 - 03.01.2021 13:00","0","2019"
"03.01.2021 13:00 - 03.01.2021 14:00","0","2019"
"03.01.2021 14:00 - 03.01.2021 15:00","0","2019"
"03.01.2021 15:00 - 03.01.2021 16:00","0","2019"
"03.01.2021 16:00 - 03.01.2021 17:00","0","2019"
"03.01.2021 17:00 - 03.01.2021 18:00","0","2019"
"03.01.2021 18:00 - 03.01.2021 19:00","0","2019"
"03.01.2021 19:00 - 03.01.2021 20:00","0","2019"
"03.01.2021 20:00 - 03.01.2021 21:00","0","2019"
"03.01.2021 21:00 - 03.01.2021 22:00","0","2014"
"03.01.2021 22:00 - 03.01.2021 23:00","0","2015"
"03.01.2021 23:00 - 04.01.2021 00:00","0","1519"
"04.01.2021 00:00 - 04.01.2021 01:00","0","1622"
"04.01.2021 01:00 - 04.01.2021 02:00","0","1622"
"04.01.2021 02:00 - 04.01.2021 03:00","0","1623"
"04.01.2021 03:00 - 04.01.2021 04:00","0","1622"
"04.01.2021 04:00 - 04.01.2021 05:00","0","1613"
"04.01.2021 05:00 - 04.01.2021 06:00","0","1513"
"04.01.2021 06:00 - 04.01.2021 07:00","0","1374"
"04.01.2021 07:00 - 04.01.2021 08:00","0","1299"
"04.01.2021 08:00 - 04.01.2021 09:00","0","60"
"04.01.2021 09:00 - 04.01.2021 10:00","0","22"
"04.01.2021 10:00 - 04.01.2021 11:00","0","562"
"04.01.2021 11:00 - 04.01.2021 12:00","0","214"
"04.01.2021 12:00 - 04.01.2021 13:00","0","554"
"04.01.2021 13:00 - 04.01.2021 14:00","0","984"
"04.01.2021 14:00 - 04.01.2021 15:00","0","1253"
"04.01.2021 15:00 - 04.01.2021 16:00","0","980"
"04.01.2021 16:00 - 04.01.2021 17:00","0","741"
"04.01.2021 17:00 - 04.01.2021 18:00","0","1931"
"04.01.2021 18:00 - 04.01.2021 19:00","0","2018"
"04.01.2021 19:00 - 04.01.2021 20:00","0","1977"
"04.01.2021 20:00 - 04.01.2021 21:00","0","2019"
"04.01.2021 21:00 - 04.01.2021 22:00","0","2019"
"04.01.2021 22:00 - 04.01.2021 23:00","0","2016"
"04.01.2021 23:00 - 05.01.2021 00:00","0","1587"
"05.01.2021 00:00 - 05.01.2021 01:00","0","1816"
"05.01.2021 01:00 - 05.01.2021 02:00","0","1817"
"05.01.2021 02:00 - 05.01.2021 03:00","0","1818"
"05.01.2021 03:00 - 05.01.2021 04:00","0","1817"
"05.01.2021 04:00 - 05.01.2021 05:00","0","1817"
"05.01.2021 05:00 - 05.01.2021 06:00","0","1827"
"05.01.2021 06:00 - 05.01.2021 07:00","0","1207"
"05.01.2021 07:00 - 05.01.2021 08:00","0","1748"
"05.01.2021 08:00 - 05.01.2021 09:00","0","1492"
"05.01.2021 09:00 - 05.01.2021 10:00","0","837"
"05.01.2021 10:00 - 05.01.2021 11:00","0","1279"
"05.01.2021 11:00 - 05.01.2021 12:00","0","985"
"05.01.2021 12:00 - 05.01.2021 13:00","0","842"
"05.01.2021 13:00 - 05.01.2021 14:00","0","1284"
"05.01.2021 14:00 - 05.01.2021 15:00","0","2016"
"05.01.2021 15:00 - 05.01.2021 16:00","0","1880"
"05.01.2021 16:00 - 05.01.2021 17:00","0","1605"
"05.01.2021 17:00 - 05.01.2021 18:00","0","2014"
"05.01.2021 18:00 - 05.01.2021 19:00","0","2019"
