"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Portugal (PT)","Actual Total Load [MW] - Portugal (PT)"
"01.01.2021 00:00 - 01.01.2021 01:00","5316","5939"
"01.01.2021 01:00 - 01.01.2021 02:00","5168","5598"
"01.01.2021 02:00 - 01.01.2021 03:00","4978","5136"
"01.01.2021 03:00 - 01.01.2021 04:00","4705","4654"
"01.01.2021 04:00 - 01.01.2021 05:00","4451","4327"
"01.01.2021 05:00 - 01.01.2021 06:00","4288","4153"
"01.01.2021 06:00 - 01.01.2021 07:00","4225","4081"
"01.01.2021 07:00 - 01.01.2021 08:00","4223","4079"
"01.01.2021 08:00 - 01.01.2021 09:00","4067","4037"
"01.01.2021 09:00 - 01.01.2021 10:00","4054","4072"
"01.01.2021 10:00 - 01.01.2021 11:00","4389","4479"
"01.01.2021 11:00 - 01.01.2021 12:00","4875","5008"
"01.01.2021 12:00 - 01.01.2021 13:00","5407","5568"
"01.01.2021 13:00 - 01.01.2021 14:00","5633","5924"
"01.01.2021 14:00 - 01.01.2021 15:00","5425","5808"
"01.01.2021 15:00 - 01.01.2021 16:00","5219","5528"
"01.01.2021 16:00 - 01.01.2021 17:00","5164","5523"
"01.01.2021 17:00 - 01.01.2021 18:00","5194","5651"
"01.01.2021 18:00 - 01.01.2021 19:00","5707","6132"
"01.01.2021 19:00 - 01.01.2021 20:00","6201","6564"
"01.01.2021 20:00 - 01.01.2021 21:00","6328","6703"
"01.01.2021 21:00 - 01.01.2021 22:00","6333","6725"
"01.01.2021 22:00 - 01.01.2021 23:00","6136","6498"
"01.01.2021 23:00 - 02.01.2021 00:00","5930","6109"
"02.01.2021 00:00 - 02.01.2021 01:00","5277","5577"
"02.01.2021 01:00 - 02.01.2021 02:00","5134","5074"
"02.01.2021 02:00 - 02.01.2021 03:00","4751","4630"
"02.01.2021 03:00 - 02.01.2021 04:00","4488","4312"
"02.01.2021 04:00 - 02.01.2021 05:00","4355","4175"
"02.01.2021 05:00 - 02.01.2021 06:00","4295","4145"
"02.01.2021 06:00 - 02.01.2021 07:00","4334","4176"
"02.01.2021 07:00 - 02.01.2021 08:00","4460","4322"
"02.01.2021 08:00 - 02.01.2021 09:00","4537","4527"
"02.01.2021 09:00 - 02.01.2021 10:00","4873","4824"
"02.01.2021 10:00 - 02.01.2021 11:00","5407","5417"
"02.01.2021 11:00 - 02.01.2021 12:00","5868","5770"
"02.01.2021 12:00 - 02.01.2021 13:00","6286","5932"
"02.01.2021 13:00 - 02.01.2021 14:00","6573","6202"
"02.01.2021 14:00 - 02.01.2021 15:00","6482","6295"
"02.01.2021 15:00 - 02.01.2021 16:00","6329","6196"
"02.01.2021 16:00 - 02.01.2021 17:00","6290","6185"
"02.01.2021 17:00 - 02.01.2021 18:00","6425","6278"
"02.01.2021 18:00 - 02.01.2021 19:00","6950","6908"
"02.01.2021 19:00 - 02.01.2021 20:00","7364","7523"
"02.01.2021 20:00 - 02.01.2021 21:00","7541","7672"
"02.01.2021 21:00 - 02.01.2021 22:00","7396","7551"
"02.01.2021 22:00 - 02.01.2021 23:00","7059","7123"
"02.01.2021 23:00 - 03.01.2021 00:00","6712","6670"
"03.01.2021 00:00 - 03.01.2021 01:00","5623","6061"
"03.01.2021 01:00 - 03.01.2021 02:00","5170","5445"
"03.01.2021 02:00 - 03.01.2021 03:00","4728","4935"
"03.01.2021 03:00 - 03.01.2021 04:00","4467","4619"
"03.01.2021 04:00 - 03.01.2021 05:00","4334","4446"
"03.01.2021 05:00 - 03.01.2021 06:00","4274","4354"
"03.01.2021 06:00 - 03.01.2021 07:00","4313","4385"
"03.01.2021 07:00 - 03.01.2021 08:00","4438","4470"
"03.01.2021 08:00 - 03.01.2021 09:00","4515","4557"
"03.01.2021 09:00 - 03.01.2021 10:00","4849","4812"
"03.01.2021 10:00 - 03.01.2021 11:00","5362","5373"
"03.01.2021 11:00 - 03.01.2021 12:00","5782","5799"
"03.01.2021 12:00 - 03.01.2021 13:00","6194","6098"
"03.01.2021 13:00 - 03.01.2021 14:00","6476","6376"
"03.01.2021 14:00 - 03.01.2021 15:00","6387","6491"
"03.01.2021 15:00 - 03.01.2021 16:00","6236","6443"
"03.01.2021 16:00 - 03.01.2021 17:00","6197","6425"
"03.01.2021 17:00 - 03.01.2021 18:00","6352","6521"
"03.01.2021 18:00 - 03.01.2021 19:00","6916","7032"
"03.01.2021 19:00 - 03.01.2021 20:00","7313","7736"
"03.01.2021 20:00 - 03.01.2021 21:00","7442","7919"
"03.01.2021 21:00 - 03.01.2021 22:00","7228","7787"
