Code poste;Nom poste;FONCTION;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste (DD)
S.GUY;SAUVETERRE-DE-GUYENNE;Poste de transformation;EN EXPLOITATION;225kV;-0.08692681055536502;44.71386904155741;44.71386904155741, -0.08692681055536502
F.FRE;FAUX-FRESNAY;Poste de transformation;EN EXPLOITATION;400kV;3.9762098808798574;48.64982394686412;48.64982394686412, 3.9762098808798574
ZGARA;PIQUAGE A GARANGER;Point de piquage;EN EXPLOITATION;90kV;-1.8312567517024787;46.79451059633593;46.79451059633593, -1.8312567517024787
1ALBI;ALBIES (TALC DE LUZENAC) /LUZENAC 20KV;Poste de transformation;EN EXPLOITATION;<45kV;1.6980094921441378;42.778236815730004;42.778236815730004, 1.6980094921441378
1AVAL;AVALATS(LES);Poste de transformation;EN EXPLOITATION;<45kV;2.239481110152893;43.94243916390505;43.94243916390505, 2.239481110152893
1GUIL;GUILLOTIERE;Poste de transformation;EN EXPLOITATION;<45kV;4.85018063057845;45.71799995746138;45.71799995746138, 4.85018063057845
1LART;LARTIGE /1ZVLE 30KV;Poste de transformation;EN EXPLOITATION;<45kV;1.5316152230911364;45.80749288269255;45.80749288269255, 1.5316152230911364
1P.RE;PUIG-REDON /TECH 26KV;Poste de transformation;EN EXPLOITATION;<45kV;2.5708434817430237;42.4168468040513;42.4168468040513, 2.5708434817430237
1POUC;POUCH (HTA);Poste de transformation;EN EXPLOITATION;<45kV;1.4711876856344934;45.297262388327105;45.297262388327105, 1.4711876856344934
A.DUC;ARNAY LE DUC;Poste de transformation;EN EXPLOITATION;63kV;4.482577720508683;47.12020628548404;47.12020628548404, 4.482577720508683
A.PLE;ARGENTRE-DU-PLESSIS;Poste de transformation;EN EXPLOITATION;90kV;-1.1544524521765525;48.03991958128694;48.03991958128694, -1.1544524521765525
A.TO5;ARSENAL DE TOULON;Poste de transformation;EN EXPLOITATION;63kV;5.916229959024192;43.125189369304486;43.125189369304486, 5.916229959024192
ABERS;ABERS (LES);Poste de transformation;EN EXPLOITATION;63kV;-4.6864956988516795;48.51562169729861;48.51562169729861, -4.6864956988516795
ABLAI;ABLAINCOURT;Poste de transformation;EN EXPLOITATION;225kV;2.826927611360599;49.834496931307605;49.834496931307605, 2.826927611360599
ACHIE;ACHIET;Poste de transformation;EN EXPLOITATION;90kV;2.781272393795497;50.13912524995166;50.13912524995166, 2.781272393795497
AIGU5;AIGUEBELLE (CLIENT);Poste de transformation;EN EXPLOITATION;45kV;6.313127843528501;45.53442305659837;45.53442305659837, 6.313127843528501
AIGUR;AIGURANDE;Poste de transformation;EN EXPLOITATION;90kV;1.8270542505202954;46.44983911229914;46.44983911229914, 1.8270542505202954
AILLE;AILLEVILLE;Poste de transformation;EN EXPLOITATION;63kV;4.6892228577778745;48.24881006999634;48.24881006999634, 4.6892228577778745
AIME;AIME;Poste de transformation;EN EXPLOITATION;63kV;6.6595314434039485;45.552730413379614;45.552730413379614, 6.6595314434039485
